id,jornada,local,visitante,terminado,resultado,cuando,url
22662,22,Barcelona,Valencia,0,,Dom 31/01 20:00h,https://www.futbolfantasy.com/partidos/22662-barcelona-valencia
22663,22,Levante,Real Sociedad,0,,Dom 31/01 20:00h,https://www.futbolfantasy.com/partidos/22663-levante-real-sociedad
22664,22,Málaga,Alavés,0,,Dom 31/01 20:00h,https://www.futbolfantasy.com/partidos/22664-malaga-alaves
22665,22,Osasuna,Deportivo,0,,Dom 31/01 20:00h,https://www.futbolfantasy.com/partidos/22665-osasuna-deportivo
22666,22,Rayo,Real Madrid,0,,Dom 31/01 20:00h,https://www.futbolfantasy.com/partidos/22666-rayo-real-madrid
22667,22,Betis,Elche,0,,Dom 31/01 20:00h,https://www.futbolfantasy.com/partidos/22667-betis-elche
22668,22,Sevilla,Athletic,0,,Dom 31/01 20:00h,https://www.futbolfantasy.com/partidos/22668-sevilla-athletic
22669,22,Villarreal,Racing,0,,Dom 31/01 20:00h,https://www.futbolfantasy.com/partidos/22669-villarreal-racing
22670,23,Athletic,Osasuna,0,,Dom 07/02 20:00h,https://www.futbolfantasy.com/partidos/22670-athletic-osasuna
22671,23,Alavés,Celta,0,,Dom 07/02 20:00h,https://www.futbolfantasy.com/partidos/22671-alaves-celta
22672,23,Deportivo,Málaga,0,,Dom 07/02 20:00h,https://www.futbolfantasy.com/partidos/22672-deportivo-malaga
22673,23,Elche,Levante,0,,Dom 07/02 20:00h,https://www.futbolfantasy.com/partidos/22673-elche-levante
22674,23,Espanyol,Rayo,0,,Dom 07/02 20:00h,https://www.futbolfantasy.com/partidos/22674-espanyol-rayo
22675,23,Barcelona,Atlético,0,,Dom 07/02 20:00h,https://www.futbolfantasy.com/partidos/22675-barcelona-atletico
22676,23,Getafe,Villarreal,0,,Dom 07/02 20:00h,https://www.futbolfantasy.com/partidos/22676-getafe-villarreal
22677,23,Betis,Sevilla,0,,Dom 07/02 20:00h,https://www.futbolfantasy.com/partidos/22677-betis-sevilla
22678,23,Real Sociedad,Real Madrid,0,,Dom 07/02 20:00h,https://www.futbolfantasy.com/partidos/22678-real-sociedad-real-madrid
22679,23,Valencia,Racing,0,,Dom 07/02 20:00h,https://www.futbolfantasy.com/partidos/22679-valencia-racing
22680,24,Celta,Rayo,0,,Dom 14/02 20:00h,https://www.futbolfantasy.com/partidos/22680-celta-rayo
22681,24,Elche,Deportivo,0,,Dom 14/02 20:00h,https://www.futbolfantasy.com/partidos/22681-elche-deportivo
22682,24,Levante,Málaga,0,,Dom 14/02 20:00h,https://www.futbolfantasy.com/partidos/22682-levante-malaga
22683,24,Osasuna,Atlético,0,,Dom 14/02 20:00h,https://www.futbolfantasy.com/partidos/22683-osasuna-atletico
22684,24,Real Madrid,Athletic,0,,Dom 14/02 20:00h,https://www.futbolfantasy.com/partidos/22684-real-madrid-athletic
