id,slug,url
22645,malaga-real-madrid,https://www.futbolfantasy.com/partidos/22645-malaga-real-madrid
22646,rayo-sevilla,https://www.futbolfantasy.com/partidos/22646-rayo-sevilla
22647,betis-deportivo,https://www.futbolfantasy.com/partidos/22647-betis-deportivo
22648,racing-osasuna,https://www.futbolfantasy.com/partidos/22648-racing-osasuna
22649,villarreal-alaves,https://www.futbolfantasy.com/partidos/22649-villarreal-alaves
22650,athletic-levante,https://www.futbolfantasy.com/partidos/22650-athletic-levante
22651,alaves-barcelona,https://www.futbolfantasy.com/partidos/22651-alaves-barcelona
22652,deportivo-atletico,https://www.futbolfantasy.com/partidos/22652-deportivo-atletico
22653,elche-rayo,https://www.futbolfantasy.com/partidos/22653-elche-rayo
22654,espanyol-villarreal,https://www.futbolfantasy.com/partidos/22654-espanyol-villarreal
22655,getafe-osasuna,https://www.futbolfantasy.com/partidos/22655-getafe-osasuna
22656,real-madrid-betis,https://www.futbolfantasy.com/partidos/22656-real-madrid-betis
22657,racing-celta,https://www.futbolfantasy.com/partidos/22657-racing-celta
22658,real-sociedad-malaga,https://www.futbolfantasy.com/partidos/22658-real-sociedad-malaga
22659,valencia-sevilla,https://www.futbolfantasy.com/partidos/22659-valencia-sevilla
22660,atletico-espanyol,https://www.futbolfantasy.com/partidos/22660-atletico-espanyol
22661,celta-getafe,https://www.futbolfantasy.com/partidos/22661-celta-getafe
22662,barcelona-valencia,https://www.futbolfantasy.com/partidos/22662-barcelona-valencia
22663,levante-real-sociedad,https://www.futbolfantasy.com/partidos/22663-levante-real-sociedad
22664,malaga-alaves,https://www.futbolfantasy.com/partidos/22664-malaga-alaves
22665,osasuna-deportivo,https://www.futbolfantasy.com/partidos/22665-osasuna-deportivo
22666,rayo-real-madrid,https://www.futbolfantasy.com/partidos/22666-rayo-real-madrid
22667,betis-elche,https://www.futbolfantasy.com/partidos/22667-betis-elche
22668,sevilla-athletic,https://www.futbolfantasy.com/partidos/22668-sevilla-athletic
22669,villarreal-racing,https://www.futbolfantasy.com/partidos/22669-villarreal-racing
22670,athletic-osasuna,https://www.futbolfantasy.com/partidos/22670-athletic-osasuna
22671,alaves-celta,https://www.futbolfantasy.com/partidos/22671-alaves-celta
22672,deportivo-malaga,https://www.futbolfantasy.com/partidos/22672-deportivo-malaga
22673,elche-levante,https://www.futbolfantasy.com/partidos/22673-elche-levante
22674,espanyol-rayo,https://www.futbolfantasy.com/partidos/22674-espanyol-rayo
22675,barcelona-atletico,https://www.futbolfantasy.com/partidos/22675-barcelona-atletico
22676,getafe-villarreal,https://www.futbolfantasy.com/partidos/22676-getafe-villarreal
22677,betis-sevilla,https://www.futbolfantasy.com/partidos/22677-betis-sevilla
22678,real-sociedad-real-madrid,https://www.futbolfantasy.com/partidos/22678-real-sociedad-real-madrid
22679,valencia-racing,https://www.futbolfantasy.com/partidos/22679-valencia-racing
22680,celta-rayo,https://www.futbolfantasy.com/partidos/22680-celta-rayo
22681,elche-deportivo,https://www.futbolfantasy.com/partidos/22681-elche-deportivo
22682,levante-malaga,https://www.futbolfantasy.com/partidos/22682-levante-malaga
22683,osasuna-atletico,https://www.futbolfantasy.com/partidos/22683-osasuna-atletico
22684,real-madrid-athletic,https://www.futbolfantasy.com/partidos/22684-real-madrid-athletic
22685,racing-getafe,https://www.futbolfantasy.com/partidos/22685-racing-getafe
22686,real-sociedad-betis,https://www.futbolfantasy.com/partidos/22686-real-sociedad-betis
22687,sevilla-espanyol,https://www.futbolfantasy.com/partidos/22687-sevilla-espanyol
22688,valencia-alaves,https://www.futbolfantasy.com/partidos/22688-valencia-alaves
