fecha,jugador,equipo,valor
2026-09-20,Anthony Gordon Gordon,Barcelona,15275000
2026-09-20,Enzo Bardelli Bardeli,Levante,1821000
2026-09-20,Ibrahima Konaté Konaté,Real Madrid,9591000
2026-09-20,Marc Cucurella Cucurella,Real Madrid,11987000
2026-09-20,Bernardo Silva Bernardo Silva,Real Madrid,9032000
2026-09-20,Arouna Sangante Sangante,Sevilla,729000
2026-09-20,Justin de Haas De Haas,Valencia,1870000
2026-09-20,Alassane Diatta Diatta,Villarreal,167000
2026-09-20,Facundo Bernal Bernal,Betis,4610000
2026-09-20,Quilindschy Hartman Hartman,Espanyol,1446000
2026-09-20,Álex Calatrava Calatrava,Espanyol,5519000
2026-09-20,Jean Ives Valou Valou,Getafe,160000
2026-09-20,Denzel Dumfries Dumfries,Real Madrid,7865000
2026-09-20,Iñaki Rupérez Rupérez,Real Sociedad,160000
2026-09-20,Aliou Dieng Dieng,Valencia,915000
2026-09-20,Ryunosuke Sato Sato,Valencia,2374000
2026-09-20,Gabriel Moscardo Moscardo,Espanyol,1067000
2026-09-20,Morten Hjulmand Hjulmand,Atlético,9110000
2026-09-20,Hamza Abdelkarim Abdelkarim,Barcelona,1315000
2026-09-20,Mikel Rodriguez Mikel Rodriguez,Alavés,460000
2026-09-20,Andrés García Andrés García,Getafe,4793000
2026-09-20,Germán Parreño,Deportivo,160000
2026-09-20,Arnau Comas Comas,Deportivo,197000
2026-09-20,Bright Ede Ede,Deportivo,985000
2026-09-20,Dani Barcia Barcia,Deportivo,175000
2026-09-20,Giacomo Quagliata Quagliata,Deportivo,4413000
2026-09-20,Lucas Noubi Noubi,Deportivo,3940000
2026-09-20,Miguel Loureiro Loureiro,Deportivo,698000
2026-09-20,Ximo Navarro Ximo,Deportivo,2842000
2026-09-20,David Mella Mella,Deportivo,563000
2026-09-20,Diego Villares Villares,Deportivo,160000
2026-09-20,Jairo Noriega Noriega,Deportivo,160000
2026-09-20,Jonathan Asp Jensen Asp Jensen,Deportivo,344000
2026-09-20,Lorenzo Amatucci Amatucci,Deportivo,8480000
2026-09-20,Luismi Cruz Luismi,Deportivo,4558000
2026-09-20,Mario Soriano Mario,Deportivo,5943000
2026-09-20,Noé Carrillo Noé Carrillo,Deportivo,160000
2026-09-20,Riki Rodríguez Riki,Deportivo,330000
2026-09-20,Rubén López Rubén López,Deportivo,210000
2026-09-20,Bil Nsongo Bil Nsongo,Deportivo,5186000
2026-09-20,Kevin Sánchez Kevin Sánchez,Deportivo,184000
2026-09-20,Pierre-Emerick Aubameyang Aubameyang,Deportivo,8390000
2026-09-20,Yeremay Hernández Yeremay,Deportivo,7565000
2026-09-20,Zakaria Eddahchouri Eddahchouri,Deportivo,1345000
2026-09-20,Alfonso Herrero Herrero,Málaga,7704000
2026-09-20,Carlos López Carlos López,Málaga,160000
2026-09-20,Álex Pastor Pastor,Málaga,160000
2026-09-20,Angel Recio Recio,Málaga,1388000
2026-09-20,Carlos Puga Puga,Málaga,3006000
2026-09-20,Diego Murillo Murillo,Málaga,160000
2026-09-20,Einar Galilea Galilea,Málaga,3088000
2026-09-20,Moussa Diarra Moussa,Málaga,160000
2026-09-20,Rafa Garrido Rafita,Málaga,2821000
2026-09-20,Aarón Ochoa Ochoa,Málaga,169000
2026-09-20,Dani Lorenzo Lorenzo,Málaga,4650000
2026-09-20,David Larrubia Larrubia,Málaga,6742000
2026-09-20,Izan Merino Merino,Málaga,1587000
2026-09-20,Joaquín Muñoz Joaquín,Málaga,1693000
2026-09-20,Rafa Rodríguez Rafa Rodríguez,Málaga,160000
2026-09-20,Ramón Enríquez Enríquez,Málaga,249000
2026-09-20,Chupete Chupete,Málaga,6057000
2026-09-20,Eneko Jauregi Jauregi,Málaga,202000
2026-09-20,Haitam Abaida Haitam,Málaga,160000
2026-09-20,Simon Eriksson Eriksson,Racing,309000
2026-09-20,Álvaro Mantilla Mantilla,Racing,1512000
2026-09-20,Facundo González Facu González,Racing,1089000
2026-09-20,Jorge Salinas Salinas,Racing,5119000
2026-09-20,Manu Hernando Hernando,Racing,2167000
2026-09-20,Íñigo Sainz-Maza Sainz-Maza,Racing,160000
2026-09-20,Iñigo Vicente Iñigo Vicente,Racing,9338000
2026-09-20,Maguette Gueye Maguette,Racing,1083000
2026-09-20,Sergio Canales Canales,Racing,7270000
2026-09-20,Sergio Martínez Sergio Martínez,Real Madrid,542000
2026-09-20,Giorgi Guliashvili Guliashvili,Racing,179000
2026-09-20,Juan Carlos Arana Arana,Racing,163000
2026-09-20,Dani Requena Requena,Levante,277000
2026-09-20,Karim Adeyemi Adeyemi,Barcelona,11787000
2026-09-20,Kang-In Lee Kang-In Lee,Atlético,11258000
2026-09-20,Jonathan Dubasin Dubasin,Osasuna,1286000
2026-09-20,Fernando Niño Fer Niño,Elche,4005000
2026-09-20,Yassir Zabiri Zabiri,Racing,5626000
2026-09-20,Jesse Bisiwu Bisiwu,Barcelona,160000
2026-09-20,Roger Hinojo Hinojo,Espanyol,2295000
2026-09-20,Yanis Musuayi Musuayi,Levante,191000
2026-09-20,Beñat Gerenabarrena Gerenabarrena,Athletic,1861000
2026-09-20,Abdoulaye Faye Faye,Celta,204000
2026-09-20,Laro Gómez Laro Gómez,Racing,179000
2026-09-20,Miguel Sierra Sierra,Sevilla,3700000
2026-09-20,Péter Gulácsi Gulacsi,Villarreal,1472000
2026-09-20,Saba Sazonov Sazonov,Getafe,163000
2026-09-20,Pedro Felipe Pedro Felipe,Racing,176000
2026-09-20,Nico Guillén Guillén,Sevilla,193000
